glycan,concentration,unit,ID,species,day,ref,genetic,aggregator
2FL,2500,nmol/l,human_warren2001,Homo_sapiens,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
2FL,1406,nmol/l,gorilla_d114_warren2001,Gorilla_gorilla,114,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
2FL,600,nmol/l,orangutan_warren2001,Pongo_pygmaeus,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
2FL,857,nmol/l,chimpanzee_d97_warren2001,Pan_troglodytes,97,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
2FL,655,nmol/l,bonobo_d47_warren2001,Pan_paniscus,47,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
2FL,458,nmol/l,bonobo_d92_warren2001,Pan_paniscus,92,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
2FL,976,nmol/l,bonobo_d126_warren2001,Pan_paniscus,126,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
2FL,310,nmol/l,bonobo_d450_warren2001,Pan_paniscus,450,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
2FL,1111,nmol/l,grizzly_d28_warren2001,Ursus_arctos,28,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
2FL,313,nmol/l,blackbear_warren2001,Ursus_americanus,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
2FL,0,nmol/l,dog_warren2001,Canis_familiaris,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
2FL,573,nmol/l,kangaroo_d164_warren2001,Osphranter_rufus,164,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
2FL,110,nmol/l,giraffe_warren2001,Giraffa_camelopardalis,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
2FL,301,nmol/l,blackrhino_d59_warren2001,Diceros_bicornis,59,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
2FL,1.2,nmol/l,manatee_warren2001,Trichechus_manatus,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
2FL,18,nmol/l,bottlenosedolphin_warren2001,Tursiops_truncatus,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
3FL,730,nmol/l,human_warren2001,Homo_sapiens,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
3FL,157,nmol/l,gorilla_d114_warren2001,Gorilla_gorilla,114,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
3FL,321,nmol/l,orangutan_warren2001,Pongo_pygmaeus,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
3FL,1131,nmol/l,chimpanzee_d97_warren2001,Pan_troglodytes,97,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
3FL,310,nmol/l,bonobo_d47_warren2001,Pan_paniscus,47,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
3FL,360,nmol/l,bonobo_d92_warren2001,Pan_paniscus,92,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
3FL,829,nmol/l,bonobo_d126_warren2001,Pan_paniscus,126,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
3FL,630,nmol/l,bonobo_d450_warren2001,Pan_paniscus,450,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
3FL,0,nmol/l,grizzly_d28_warren2001,Ursus_arctos,28,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
3FL,759,nmol/l,blackbear_warren2001,Ursus_americanus,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
3FL,2430,nmol/l,dog_warren2001,Canis_familiaris,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
3FL,1106,nmol/l,kangaroo_d164_warren2001,Osphranter_rufus,164,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
3FL,36,nmol/l,giraffe_warren2001,Giraffa_camelopardalis,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
3FL,42,nmol/l,blackrhino_d59_warren2001,Diceros_bicornis,59,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
3FL,3,nmol/l,manatee_warren2001,Trichechus_manatus,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
3FL,91,nmol/l,bottlenosedolphin_warren2001,Tursiops_truncatus,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LDFT,470,nmol/l,human_warren2001,Homo_sapiens,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LDFT,0,nmol/l,gorilla_d114_warren2001,Gorilla_gorilla,114,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LDFT,603,nmol/l,orangutan_warren2001,Pongo_pygmaeus,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LDFT,101,nmol/l,chimpanzee_d97_warren2001,Pan_troglodytes,97,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LDFT,43,nmol/l,bonobo_d47_warren2001,Pan_paniscus,47,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LDFT,38,nmol/l,bonobo_d92_warren2001,Pan_paniscus,92,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LDFT,80,nmol/l,bonobo_d126_warren2001,Pan_paniscus,126,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LDFT,48,nmol/l,bonobo_d450_warren2001,Pan_paniscus,450,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LDFT,1668,nmol/l,grizzly_d28_warren2001,Ursus_arctos,28,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LDFT,153,nmol/l,blackbear_warren2001,Ursus_americanus,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LDFT,0,nmol/l,dog_warren2001,Canis_familiaris,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LDFT,127,nmol/l,kangaroo_d164_warren2001,Osphranter_rufus,164,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LDFT,48,nmol/l,giraffe_warren2001,Giraffa_camelopardalis,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LDFT,365,nmol/l,blackrhino_d59_warren2001,Diceros_bicornis,59,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LDFT,0,nmol/l,manatee_warren2001,Trichechus_manatus,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LDFT,0,nmol/l,bottlenosedolphin_warren2001,Tursiops_truncatus,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNT,570,nmol/l,human_warren2001,Homo_sapiens,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNT,0,nmol/l,gorilla_d114_warren2001,Gorilla_gorilla,114,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNT,0,nmol/l,orangutan_warren2001,Pongo_pygmaeus,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNT,31,nmol/l,chimpanzee_d97_warren2001,Pan_troglodytes,97,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNT,60,nmol/l,bonobo_d47_warren2001,Pan_paniscus,47,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNT,34,nmol/l,bonobo_d92_warren2001,Pan_paniscus,92,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNT,106,nmol/l,bonobo_d126_warren2001,Pan_paniscus,126,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNT,96,nmol/l,bonobo_d450_warren2001,Pan_paniscus,450,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNT,544,nmol/l,grizzly_d28_warren2001,Ursus_arctos,28,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNT,226,nmol/l,blackbear_warren2001,Ursus_americanus,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNT,126,nmol/l,dog_warren2001,Canis_familiaris,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNT,900,nmol/l,kangaroo_d164_warren2001,Osphranter_rufus,164,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNT,420,nmol/l,giraffe_warren2001,Giraffa_camelopardalis,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNT,296,nmol/l,blackrhino_d59_warren2001,Diceros_bicornis,59,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNT,0,nmol/l,manatee_warren2001,Trichechus_manatus,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNT,0,nmol/l,bottlenosedolphin_warren2001,Tursiops_truncatus,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNnT,250,nmol/l,human_warren2001,Homo_sapiens,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNnT,235,nmol/l,gorilla_d114_warren2001,Gorilla_gorilla,114,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNnT,190,nmol/l,orangutan_warren2001,Pongo_pygmaeus,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNnT,36,nmol/l,chimpanzee_d97_warren2001,Pan_troglodytes,97,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNnT,26,nmol/l,bonobo_d47_warren2001,Pan_paniscus,47,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNnT,48,nmol/l,bonobo_d92_warren2001,Pan_paniscus,92,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNnT,61,nmol/l,bonobo_d126_warren2001,Pan_paniscus,126,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNnT,61,nmol/l,bonobo_d450_warren2001,Pan_paniscus,450,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNnT,33,nmol/l,grizzly_d28_warren2001,Ursus_arctos,28,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNnT,367,nmol/l,blackbear_warren2001,Ursus_americanus,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNnT,285,nmol/l,dog_warren2001,Canis_familiaris,,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
LNnT,0,nmol/l,kangaroo_d164_warren2001,Osphranter_rufus,164,https://pubmed.ncbi.nlm.nih.gov/11787698/,,
