glycan,concentration,unit,ID,species,day,ref
Neu5Ac(a2-6)Gal(b1-4)Glc-ol,6.66,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)Glc-ol,13.45,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]Glc-ol,0.27,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]Glc-ol,1.77,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,6.03,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,20.62,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,28.67,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,18.61,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]Glc-ol,1.1,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]Glc-ol,1.94,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]Glc-ol,1.53,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]Glc-ol,4.04,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Fuc(a1-2)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]Glc-ol,1.43,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Fuc(a1-2)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]Glc-ol,0.87,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0.1,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0.28,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)[Neu5Ac(a2-6)]Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0.22,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)[Neu5Ac(a2-6)]Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0.57,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-4)GlcNAc(b1-3)[Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0.15,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-4)GlcNAc(b1-3)[Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0.23,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0.92,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,1.4,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0.2,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)]Gal(b1-4)Glc-ol,1.12,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,2.16,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,1.6,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)[Fuc(a1-3)]Glc-ol,3.17,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)[Fuc(a1-3)]Glc-ol,6.8,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)]Gal(b1-4)[Fuc(a1-3)]Glc-ol,0.63,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)]Gal(b1-4)[Fuc(a1-3)]Glc-ol,1.16,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)[Fuc(a1-3)]Glc-ol,0.45,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)[Fuc(a1-3)]Glc-ol,0.22,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0.2,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0.1,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Neu5Ac(a2-6)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0.09,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Neu5Ac(a2-6)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0.13,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0.12,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0.17,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0.04,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0.06,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,37.27,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,20.1,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)][Neu5Ac(a2-6)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,0.66,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)][Neu5Ac(a2-6)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,0.7,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]Glc-ol,0.73,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]Glc-ol,0.1,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,1.19,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0.62,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0.3,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0.12,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0.45,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0.08,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0.48,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0.79,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0.75,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0.2,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0.1,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)[Fuc(a1-3)]Glc-ol,0.09,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)[Fuc(a1-3)]Glc-ol,0.07,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)[Neu5Ac(a2-6)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-4)[Fuc(a1-3)]Glc-ol,0.19,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)[Neu5Ac(a2-6)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-4)[Fuc(a1-3)]Glc-ol,0.06,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0.07,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
