glycan,human1_d_wang2023,human2_d_wang2023,human_d120_wang2022,human_d150_wang2022,human_d15_wang2022,human_d180_wang2022,human_d210_wang2022,human_d240_wang2022,human_d304_wang2022,human_d304_wang2023,human_d304_wang2024,human_d304_wang2025,human_d304_wang2026,human_d304_wang2027,human_d304_wang2028,human_d304_wang2029,human_d304_wang2030,human_d304_wang2031,human_d304_wang2032,human_d30_wang2022,human_d30_wang2023,human_d30_wang2024,human_d30_wang2025,human_d30_wang2026,human_d30_wang2027,human_d30_wang2028,human_d30_wang2029,human_d30_wang2030,human_d30_wang2031,human_d30_wang2032,human_d45_yamaguchi2024,human_d60_wang2022,human_d7_wang2022,human_d90_wang2022
Fuc(a1-2)Gal(b1-3)GalNAc,,,6.8302937,4.241474051,3.766692117,2.042062925,3.860396975,1.925970283,,,,,,,,,,,,1.659104241,,,,,,,,,,,3.12,4.230438486,3.237193008,4.038408576
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,5.617660182,5.013414022,1.258679003,5.545912297,3.065334301,7.427342974,,,,,,,,,,2.340010301,,,,,,,,,,,,,,3.253483256,1.000218101,4.315540545
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,,,
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.689,,,
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,3.005705714,5.150310544,3.480344815,5.951819312,5.73391844,6.968584582,,,,,,,,,,,,,,,5.073645114,,,,,,,,,4.255886906,1.300908968,2.370731028
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239,,,
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)GalNAc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.465,,,
Gal(?1-?)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,,,7.920934983,5.918123492,5.443730476,7.323108923,7.910249891,5.233728807,,,,,,,,,,,,14.91245344,,,,,,,,,,,,8.830179892,1.756255779,6.449272292
Gal(?1-?)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,,,
Gal(?1-?)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3,,,
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,0.885999639,1.050765028,0.804807383,0.866706427,0.326925834,1.381953881,,,,,,,,,,,,,,,,,,0.610519651,,,,,,0.757557239,0.789173204,0.642574009
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,2.502539565,1.864487756,3.681049866,2.070185121,2.626042163,1.349098505,,,,,,,,,3.564357371,,,,,,,,,,,,,,,3.601197751,6.440397457,4.02209982
Gal(a1-4)Gal(b1-4)Glc1Cer,11.306,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gal(a1-4)[GalNAc(?1-?)]Gal(b1-4)Glc1Cer,5.343333333,5.746666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gal(b1-3)GalNAc,,,59.84278778,62.52235659,61.41933391,69.72897793,59.94794605,63.25835548,,,,,,,,,,,,57.28511346,,,,,,,,,,,,56.88653944,58.17169485,60.61585069
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,22.58928571,22.58928571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gal(b1-4)Glc1Cer,5.2425,4.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,1.368516989,1.70370325,2.243922214,1.268162707,1.71323934,1.465511996,,,,,,,,,,,,,,,,,1.673731116,,,,,,0.07,1.769942149,0.980172043,0.767460356
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,13.80621458,13.94690742,9.639406549,12.46502464,5.756576666,11.79507981,,,,,,,,,,,,,,,,,,,,,6.303662645,,0.495,5.886702518,5.580822498,13.73749818
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,1.684894572,1.922063922,2.65526821,1.503754937,2.061436162,1.806234409,1.914725715,,,,,,,,,,,,,,,,,,,,,,,2.150859611,1.420062736,1.424379418
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,2.102854756,2.347760042,3.580896059,2.064547523,2.874820237,2.090980997,,,3.304461235,,,,,,,,,,,,,,,,,,,,0.032,3.399942964,4.612517721,3.74996572
