Diff 1,Diff 2,Mean Difference,T-Statistic,p-value,Reaction Preference,adj p-value,Significance
3S,Neu5Ac(a2-6),-2.6,-3.7333824248122385,0.02023720643480376,forward,0.03475717517726386,*
6S,Fuc(a1-2),-1.5774307285446427,-3.016075875434852,0.003122818832578162,forward,0.0064650789885266815,**
6S,Fuc(a1-3),-6.676666666666667,-1.5615743854841577,0.1791437095354215,forward,0.22422235539890992,n.s.
6S,Fuc(a1-3/4),-2.0103125000000004,-3.531928860557829,0.00113436540121059,forward,0.0025113407437205547,**
6S,Gal(b1-3),-3.2256243368600583,-9.407294761108217,7.636926976740172e-19,forward,6.3585718088945345e-18,***
6S,Gal(b1-3/4),-3.052950819672131,-3.932460616885796,0.00021868584401993688,forward,0.0005403656661911988,***
6S,Gal(b1-4),-3.3702181368897954,-6.682212996192805,1.5143880164680405e-10,forward,6.988079642256139e-10,***
6S,GalNAc(a1-3),0.6,2.302306125807885,0.09137768844753083,reverse,0.12499162384072968,n.s.
6S,GalNAc(b1-4),0.3666666666666666,0.8315218406202998,0.4833136617660662,reverse,0.5233034942369812,n.s.
6S,GlcNAc(a1-4),-0.9697986062978725,-7.207131818778068,2.257998490445039e-09,forward,9.609038020449442e-09,***
6S,GlcNAc(b1-3),0.17449276593103458,0.800934179065025,0.4284051354418177,reverse,0.47499935316409087,n.s.
6S,GlcNAc(b1-6),0.24554644321874997,2.4501579255720176,0.017261148144492627,reverse,0.030187304745847836,*
6S,HexNAc(?1-?),-2.75,-2.686391594908092,0.07228404844686175,forward,0.10253626131536314,n.s.
6S,Neu5Ac(a2-3),-3.697478705438155,-9.232822590049482,4.42250958938191e-19,forward,3.764047050518381e-18,***
6S,Neu5Ac(a2-6),-2.9601081616,-2.5380434562089125,0.014505807213817178,forward,0.025961327863981212,*
Fuc(a1-2),Fuc(a1-2),0.6565417475699207,4.888623283642433,1.3203297185052364e-06,reverse,4.249464556197526e-06,***
Fuc(a1-2),Fuc(a1-3),-7.49937105483287,-6.586227878796496,1.493551104005968e-10,forward,6.975976497979095e-10,***
Fuc(a1-2),Fuc(a1-3/4),0.3275317048183908,1.9554262442827977,0.0509211570117737,reverse,0.07530039820659971,n.s.
Fuc(a1-2),Fuc(a1-4),-1.1627994308437497,-0.799674295913608,0.4270044421525313,forward,0.47499935316409087,n.s.
Fuc(a1-2),Gal(?1-3),0.49373644136458333,3.369131897592946,0.0009273770690112285,reverse,0.0021141989132815505,**
Fuc(a1-2),Gal(?1-?),1.8025604334583332,10.028663742378845,2.9198002259129206e-13,reverse,1.8332516172535224e-12,***
Fuc(a1-2),Gal(a1-3),-11.137304596263158,-6.4998122849866435,4.772482532821831e-10,forward,2.100989436862944e-09,***
Fuc(a1-2),Gal(b1-3),-1.18118525174812,-4.306275250572269,1.9846841488192904e-05,forward,5.5082176014332475e-05,***
Fuc(a1-2),Gal(b1-3/4),-1.3425822286598514,-15.403996683666303,5.207745435522474e-45,forward,1.2466040636281922e-43,***
Fuc(a1-2),Gal(b1-4),-0.49136160117647043,-1.8389739268525662,0.06633735759582284,forward,0.09551581939548927,n.s.
Fuc(a1-2),GalNAc(a1-3),3.4011882638527724,7.418901355879675,4.616598540542172e-13,reverse,2.6790261227691698e-12,***
Fuc(a1-2),GalNAc(b1-4),2.577079645517241,2.6669340536421666,0.009909590720660671,reverse,0.01824698675967806,*
Fuc(a1-2),GlcNAc(?1-?),0.26696019228947365,0.6150348647817039,0.5407932972908078,reverse,0.575343980173276,n.s.
Fuc(a1-2),GlcNAc(a1-4),0.3854571426198832,1.7360131015354152,0.08348786044964451,reverse,0.11460878334126828,n.s.
Fuc(a1-2),GlcNAc(b1-3),0.9585843365663265,5.263062398653537,2.2227361339603885e-07,reverse,7.882480919507674e-07,***
Fuc(a1-2),GlcNAc(b1-3/6),-9.35,-1.760004871992548,0.17661859456844814,forward,0.2217866285892316,n.s.
Fuc(a1-2),GlcNAc(b1-6),1.3853063318294392,7.186334149861533,2.2138874512013786e-12,reverse,1.1942519631128563e-11,***
Fuc(a1-2),HexNAc(?1-3),-1.2434782608695647,-1.4905448608185998,0.1483391377046175,forward,0.1925894567487068,n.s.
Fuc(a1-2),HexNAc(?1-4),-0.6818181818181821,-0.5500804887761455,0.5901151930743314,forward,0.6242575460567696,n.s.
Fuc(a1-2),HexNAc(?1-?),0.04563871224615368,0.2273321071701115,0.8202599909941112,reverse,0.8311099908749856,n.s.
Fuc(a1-2),Neu5Ac(a2-3),-0.5843868372711867,-0.8842556001935258,0.3772683942371319,forward,0.42876497030510835,n.s.
Fuc(a1-2),Neu5Ac(a2-3/6),0.7868601419156627,5.120710596156154,1.4566520144097121e-06,reverse,4.649147679324331e-06,***
Fuc(a1-2),Neu5Ac(a2-6),0.7147672088695651,1.1989240207980167,0.23200160540845824,reverse,0.2811918192134161,n.s.
Fuc(a1-2),OS,0.09182913100000001,5.210035107855052,0.00028994019682085083,reverse,0.0007028297176100371,***
Fuc(a1-2/3),Neu5Ac(a2-3),28.726909090909096,20.240040400256106,4.994773787915084e-27,reverse,6.832137002755275e-26,***
Fuc(a1-2/3/4),Fuc(a1-3/4),-2.0,-1.0526315789473684,0.48367999206237944,forward,0.5233034942369812,n.s.
Fuc(a1-2/3/4),Gal(b1-3),-2.1692024295957446,-4.958323626642477,3.1886270428799447e-06,forward,9.490285603892452e-06,***
Fuc(a1-2/3/4),Gal(b1-3/4),-1.7527588322380954,-8.331170062229978,1.4218369966294224e-12,forward,7.892225647957518e-12,***
Fuc(a1-2/3/4),Gal(b1-4),-1.1739849513064518,-2.279652090726465,0.025115861925391104,forward,0.041642316525648454,*
Fuc(a1-2/3/4),GlcNAc(b1-3),-0.11999999999999966,-0.04293277993866672,0.9672647623257526,forward,0.9723422676397986,n.s.
Fuc(a1-2/3/4),GlcNAc(b1-6),-0.5270559081199999,-3.4059178866091298,0.002323542387338316,forward,0.0049716018678803075,**
Fuc(a1-2/3/4),Neu5Ac(a2-3),0.4399999999999997,0.48720761531586826,0.6403350561661205,reverse,0.6700773948405032,n.s.
Fuc(a1-3),Fuc(a1-3),-0.08124999999999993,-0.19759222852158623,0.8440985529009861,forward,0.8530072447521839,n.s.
Fuc(a1-3),Fuc(a1-3/4),9.035,1.1441651446980947,0.3354360500222013,reverse,0.3858018232988081,n.s.
Fuc(a1-3),Fuc(a1-4),5.9314289048823525,5.884394248349475,2.460809992408985e-08,reverse,9.920949758869908e-08,***
Fuc(a1-3),Fuc(a1-6),-0.876930154290393,-9.49313327067626,1.0149041519319563e-19,forward,9.039727678835795e-19,***
Fuc(a1-3),Gal(a1-3),1.5166666666666666,1.0319476856034813,0.3489196531074805,reverse,0.3989141108661643,n.s.
Fuc(a1-3),Gal(b1-3),-2.0739577040532544,-4.4807138017664725,1.3709817238814372e-05,forward,3.889525927752522e-05,***
Fuc(a1-3),Gal(b1-3/4),-1.8384307317452833,-9.297623589475249,2.307773967995674e-15,forward,1.6676932636647986e-14,***
Fuc(a1-3),Gal(b1-4),-3.3247936708909616,-10.027526847636588,3.398692691748163e-22,forward,4.067810315436083e-21,***
Fuc(a1-3),Gal(b1-?),-0.2445691581666667,-3.8478748591597407,0.0008201821270025252,forward,0.0018810164948620787,**
Fuc(a1-3),GalNAc(a1-3),-0.95,-1.727272727272727,0.33409536468736045,forward,0.38541724299776825,n.s.
Fuc(a1-3),GalNAc(b1-4),-0.8803019091590908,-8.525875213380795,8.644059561321096e-11,forward,4.087252854303679e-10,***
Fuc(a1-3),GlcNAc(a1-4),0.45,9.000000000000002,0.07044657495455453,reverse,0.10067551569997904,n.s.
Fuc(a1-3),GlcNAc(b1-2),-0.6661240598978496,-6.971993059277883,4.504271339582145e-11,forward,2.2699156882367914e-10,***
Fuc(a1-3),GlcNAc(b1-3),2.979472313480769,3.9168342439280135,0.0002675959574774634,reverse,0.0006527977816169967,***
Fuc(a1-3),GlcNAc(b1-4),-1.2525862068965519,-5.920529246249059,3.091855728185302e-08,forward,1.220804890613372e-07,***
Fuc(a1-3),GlcNAc(b1-6),4.5088888888888885,1.4564665283734946,0.18336162401061623,reverse,0.22801137011709746,n.s.
Fuc(a1-3),Man(a1-3),-2.175820300222222,-2.402280891036729,0.02799700415628769,forward,0.045367969998425614,*
Fuc(a1-3),Man(a1-3/6),-1.0998645383333334,-2.1688059000734214,0.08226695977296368,forward,0.11333901292462263,n.s.
Fuc(a1-3),Man(a1-6),-2.406152381133333,-2.3041151418933294,0.037059907601172844,forward,0.056775778444996795,n.s.
Fuc(a1-3),Neu5Ac(a2-3),-3.768665159771812,-4.409568151962934,1.3517719843913284e-05,forward,3.86364679120805e-05,***
Fuc(a1-3),Neu5Ac(a2-3/6),-1.1978838194403674,-5.298025274087622,6.067035773856093e-07,forward,2.0205866968581598e-06,***
Fuc(a1-3),Neu5Ac(a2-6),-2.0515750811645024,-5.170798141872071,5.058397099577363e-07,forward,1.6994439378404649e-06,***
Fuc(a1-3),Neu5Ac(a2-?),-0.9398454964651163,-5.649414881200566,1.2666724224212416e-06,forward,4.111318116841826e-06,***
Fuc(a1-3/4),Fuc(a1-3/4),13.902151162790698,5.582863815787336,5.590256697282337e-08,reverse,2.1410683150591348e-07,***
Fuc(a1-3/4),Fuc(a1-6),-42.80327868852459,-14.357470893178604,2.536515217822839e-29,forward,3.7364820324082587e-28,***
Fuc(a1-3/4),Gal(a1-3),-0.3232013352777777,-0.8206870309069051,0.41495281043071053,forward,0.46606136772716167,n.s.
Fuc(a1-3/4),Gal(b1-3),-1.17598023727907,-5.787891034839446,3.1964314513193554e-08,forward,1.249217597811544e-07,***
Fuc(a1-3/4),Gal(b1-3/4),-9.768596385487303,-8.278766317371463,3.990181323819531e-16,forward,2.996547935338981e-15,***
Fuc(a1-3/4),Gal(b1-4),-0.9138855298032786,-6.562247903515336,2.1632041612854753e-10,forward,9.633804578748105e-10,***
Fuc(a1-3/4),GalNAc(a1-3),0.33486566142105273,1.9382234901662212,0.05497304259120826,reverse,0.08036135615432353,n.s.
Fuc(a1-3/4),GlcNAc(?1-?),-1.345993527230769,-4.492830204652241,0.00013874460531058413,forward,0.00035426122555969145,***
Fuc(a1-3/4),GlcNAc(a1-4),1.6677808097419355,3.4595772902908744,0.0015774116072078239,reverse,0.0034326627588670256,**
Fuc(a1-3/4),GlcNAc(b1-2),-36.175438596491226,-9.036583282599517,1.0373019870020998e-12,forward,5.842450897379474e-12,***
Fuc(a1-3/4),GlcNAc(b1-2/4),-14.5,-2.3059290935802688,0.023483779481080606,forward,0.03944862956690295,*
Fuc(a1-3/4),GlcNAc(b1-2/6),21.696428571428573,4.182887813922787,6.712290292818144e-05,reverse,0.00017852827653814924,***
Fuc(a1-3/4),GlcNAc(b1-3),0.7298230535000001,2.0295840094855047,0.044927649201195,reverse,0.06747956723159876,n.s.
Fuc(a1-3/4),GlcNAc(b1-3/6),1.5,1.244252843120995,0.3394484293373846,reverse,0.3892477498090368,n.s.
Fuc(a1-3/4),GlcNAc(b1-4),4.325842696629213,1.1308178503108721,0.2597686724204221,reverse,0.31188527127592997,n.s.
Fuc(a1-3/4),GlcNAc(b1-6),-0.7669193455241934,-1.1201308455032342,0.26468048154066115,forward,0.31678945134397885,n.s.
Fuc(a1-3/4),HexNAc(?1-3),-2.5199999999999996,-1.1412182083982254,0.31355095190628357,forward,0.3655445822543356,n.s.
Fuc(a1-3/4),HexNAc(?1-4),0.3,3.3541019662496847,0.02846020325433834,reverse,0.04560777341594805,*
