Diff 1,Diff 2,Mean Difference,T-Statistic,p-value,Reaction Preference,adj p-value,Significance
6S,Fuc(a1-2),-0.4751712688666667,-4.3259326412705885,0.00013024859290098836,forward,0.0003345332280825385,***
6S,Gal(b1-3),-1.945730748509259,-13.065647242552732,6.748802543059815e-24,forward,5.489026068355316e-22,***
6S,Gal(b1-4),-1.3865263891666668,-8.54228333732168,3.20518796605976e-13,forward,4.116136124834639e-12,***
6S,GlcNAc(a1-4),-0.3571381026666667,-3.830604448655501,0.0008559669855159981,forward,0.0017699656310669791,**
6S,GlcNAc(b1-3),1.0707398605833334,4.949518876654094,0.000435962829260122,reverse,0.000967044821267907,***
6S,GlcNAc(b1-6),1.0707398605833334,4.949518876654094,0.000435962829260122,reverse,0.000967044821267907,***
6S,Neu5Ac(a2-3),-2.27055633085,-3.637525485836858,0.0003319811415580684,forward,0.0007788788321170067,***
Fuc(a1-2),Fuc(a1-2),0.08191922116176487,0.6309859255233247,0.5286100218524798,reverse,0.5758073452321656,n.s.
Fuc(a1-2),Fuc(a1-3),0.574345778879518,7.330817661444546,1.4540346966129524e-10,reverse,1.0136699027816012e-09,***
Fuc(a1-2),Fuc(a1-3/4),0.4907834574390243,8.364906888654064,2.0056747269787496e-15,reverse,4.4489512125710445e-14,***
Fuc(a1-2),Gal(?1-3),-0.34260948759887,-2.490615128143898,0.01330824139460862,forward,0.01968006606233032,*
Fuc(a1-2),Gal(?1-?),1.0478655230833331,6.673823642103834,8.281424493917736e-07,reverse,3.518854164395156e-06,***
Fuc(a1-2),Gal(a1-3),1.0590708601999999,4.577275855091206,6.678330789769691e-05,reverse,0.00018309131603413533,***
Fuc(a1-2),Gal(b1-3),-1.1067551940202018,-6.823147792074956,5.500214875510639e-10,forward,3.441160075960502e-09,***
Fuc(a1-2),Gal(b1-3/4),-0.6136731649292453,-9.607920375903435,2.5927234900171718e-20,forward,1.26524906312838e-18,***
Fuc(a1-2),Gal(b1-4),-0.47849625368571425,-2.81046472146092,0.0056596159942326925,forward,0.00896718378306998,**
Fuc(a1-2),GalNAc(a1-3),1.1539278993148148,8.82225639677017,1.7171480843914176e-14,reverse,2.992743804225042e-13,***
Fuc(a1-2),GalNAc(b1-4),-0.6213743233181819,-1.3348237784062182,0.1939401011017918,forward,0.23165740347478692,n.s.
Fuc(a1-2),GlcNAc(?1-?),0.4475317984444445,2.176278876633717,0.04001380283300221,reverse,0.05368830311775624,n.s.
Fuc(a1-2),GlcNAc(a1-4),0.5186854047820513,5.014353056602343,1.4514350035710025e-06,reverse,5.712099046311687e-06,***
Fuc(a1-2),GlcNAc(b1-3),0.8110823322684564,6.225310492987902,1.6484306840123628e-09,reverse,9.810172851195525e-09,***
Fuc(a1-2),GlcNAc(b1-6),0.790507403899225,7.053803776958546,3.954724441690354e-11,reverse,3.3274233233532636e-10,***
Fuc(a1-2),HexNAc(?1-?),-0.23879088334951437,-2.423487168665828,0.016247788768048516,forward,0.023786978559660877,*
Fuc(a1-2),Neu5Ac(a2-3),-0.06105104909433967,-0.4695345644649087,0.6398369455997039,forward,0.6758450853953583,n.s.
Fuc(a1-2),Neu5Ac(a2-3/6),0.17181293202654857,1.3895213233744534,0.16608532644425333,reverse,0.20161601817113342,n.s.
