Diff 1,Diff 2,Mean Difference,T-Statistic,p-value,Reaction Preference,adj p-value,Significance
6S,GlcNAc(b1-3),0.8914020145,1.0357101406547486,0.4888336508545008,reverse,0.5270237798275087,n.s.
6S,Neu5Ac(a2-3),0.3249996015,0.7359622466935467,0.5124639376558603,reverse,0.5287105539050273,n.s.
6S,Neu5Ac(a2-6),-25.397433636,-1.0004035441689572,0.49987157381606995,forward,0.5287105539050273,n.s.
Fuc(a1-2),Fuc(a1-3),-12.958778499811322,-7.236458054303036,7.1322825174494225e-12,forward,6.151593671300127e-11,***
Fuc(a1-2),Fuc(a1-4),-1.1627994308437497,-0.799674295913608,0.4270044421525313,forward,0.46767153188134386,n.s.
Fuc(a1-2),Gal(a1-3),-51.175062169018524,-13.262787252512714,1.7997609857834146e-18,forward,4.1394502673018535e-17,***
Fuc(a1-2),Gal(b1-4),-5.506258471365853,-3.484088828493989,0.001211645851071037,forward,0.00398112208209055,**
Fuc(a1-2),GalNAc(a1-3),22.892053796499997,7.060891978392595,4.1901030097666095e-09,reverse,2.8911710767389604e-08,***
Fuc(a1-2),GlcNAc(b1-3),1.3750859276666667,12.994186541833448,1.1663323311181158e-06,reverse,6.7064109039291665e-06,***
Fuc(a1-2),GlcNAc(b1-6),5.317558606666666,5.5460871046355456,3.0637827620384415e-06,reverse,1.5100072184332318e-05,***
Fuc(a1-2),Neu5Ac(a2-3),-1.1422222222222222,-1.8284869215052209,0.10487995727015569,forward,0.15164258421612828,n.s.
Fuc(a1-2),Neu5Ac(a2-6),0.9793482944210514,1.0075544949208668,0.3160017189508116,reverse,0.37593307944148274,n.s.
Fuc(a1-3),Fuc(a1-3),-0.6555555555555554,-0.9422722019856529,0.35392902334608967,forward,0.4139169934047489,n.s.
Fuc(a1-3),Fuc(a1-4),5.9314289048823525,5.884394248349475,2.460809992408985e-08,reverse,1.5435989952383635e-07,***
Fuc(a1-3),Gal(b1-3),-1.815290399490196,-3.057963943657103,0.0035742746905955847,forward,0.009864998146043814,**
Fuc(a1-3),Gal(b1-4),-6.9450604282735435,-7.896882163013329,1.3084386527012527e-13,forward,1.5047044506064405e-12,***
Fuc(a1-3),Gal(b1-?),-0.2445691581666667,-3.8478748591597407,0.0008201821270025252,forward,0.002978556145430223,**
Fuc(a1-3),GlcNAc(b1-3),2.979472313480769,3.9168342439280135,0.0002675959574774634,reverse,0.0010861247685849983,**
Fuc(a1-3),GlcNAc(b1-6),4.5088888888888885,1.4564665283734946,0.18336162401061623,reverse,0.23871607654212304,n.s.
Fuc(a1-3),Neu5Ac(a2-3),-10.2063989845,-4.447807781834671,2.4119211579613886e-05,forward,0.00011094837326622387,***
Fuc(a1-3),Neu5Ac(a2-6),-1.3364444444444445,-3.017520649403258,0.004226358074036208,forward,0.011216104119557629,*
Fuc(a1-3),Neu5Ac(a2-?),-0.9398454964651163,-5.649414881200566,1.2666724224212416e-06,forward,6.723107472851205e-06,***
Fuc(a1-4),Gal(b1-3),-6.625426671346847,-10.266162047275563,1.809453653247339e-20,forward,6.242615103703319e-19,***
Fuc(a1-4),Gal(b1-4),-1.3369547409722218,-2.0534680102903495,0.04755870200310412,forward,0.0820387609553546,n.s.
Fuc(a1-4),Gal(b1-?),-0.24456915816666666,-2.661052016952249,0.022145060809779432,forward,0.0477502873710869,*
Fuc(a1-4),GlcNAc(b1-6),2.602905222612069,8.717897509530927,2.4876272618124656e-14,reverse,3.432925621301202e-13,***
Fuc(a1-4),Neu5Ac(a2-3),2.07994402432,3.4385494839454944,0.0020893703505519227,reverse,0.006006939757836778,**
Fuc(a1-4),Neu5Ac(a2-6),-0.618,-2.9271681479779303,0.00864621821595137,forward,0.02057203644484981,*
Fuc(a1-?),Gal(b1-3),-0.692490825,-0.9591738775110759,0.40685865798822834,forward,0.45279431292238315,n.s.
Fuc(a1-?),Gal(b1-4),-7.755966190666667,-2.275057776359455,0.05246390566913637,forward,0.08829291441879047,n.s.
Fuc(a1-?),Gal(b1-?),-0.86,-2.866666666666667,0.21367413750734754,forward,0.2680639179637633,n.s.
Fuc(a1-?),GlcNAc(b1-3),-2.2926360075,-1.4285527254103052,0.3888041401226118,forward,0.44117845289392105,n.s.
Fuc(a1-?),GlcNAc(b1-6),3.36,2.210526315789474,0.27045655485213893,reverse,0.3332411122285283,n.s.
Gal(?1-?),Gal(b1-3),0.09565806899999973,0.21204699729911647,0.835142892017883,reverse,0.835142892017883,n.s.
Gal(?1-?),GlcNAc(b1-6),1.0237282469519233,3.8644691716763484,0.00019495016413116105,reverse,0.000840722582815632,***
Gal(a1-3),Gal(b1-3),-0.5255990426249997,-0.6212037878501406,0.5444508315117556,forward,0.5524574613869284,n.s.
Gal(a1-3),Gal(b1-4),-3.931032268375,-1.4132052355738942,0.20030796164216805,forward,0.25594906209832585,n.s.
Gal(a1-3),Gal(b1-6),-17.618197069500003,-3.0372436604734108,0.028103440121001685,forward,0.0537914748361959,n.s.
Gal(b1-3),Gal(b1-4),-7.745710485555556,-2.0970013836630996,0.06880880521393219,forward,0.1119815265346376,n.s.
Gal(b1-3),Gal(b1-6),-14.786341439428572,-2.6244446463961464,0.03841776522970473,forward,0.06975857370656911,n.s.
Gal(b1-3),GlcNAc(b1-3),0.4932786952,2.658910220245584,0.026092355184235444,reverse,0.0537914748361959,n.s.
Gal(b1-3),GlcNAc(b1-6),4.6111695475022625,10.85538772294463,2.908854456737741e-22,reverse,2.0071095751490412e-20,***
Gal(b1-3),Neu5Ac(a2-3),1.3704660884444444,6.109728484547869,0.0002863861056958457,reverse,0.0010978134051674085,**
Gal(b1-3),Neu5Ac(a2-6),3.836663860672131,3.3790543074719563,0.0012789225764355532,reverse,0.0040111662624569625,**
Gal(b1-3),Neu5Ac(a2-?),-46.0869565222,-2.0844505898568157,0.10549049336774141,forward,0.15164258421612828,n.s.
Gal(b1-3),Neu5Gc(a2-3),4.0,2.7174648819470297,0.07270471310932962,reverse,0.1119815265346376,n.s.
Gal(b1-3),Neu5Gc(a2-6),4.333333333333333,3.8334908600273248,0.008638461087127127,reverse,0.02057203644484981,*
Gal(b1-4),Gal(b1-4),-1.6808751396190478,-3.1234901181083425,0.005351831836961377,forward,0.013676903583345742,*
Gal(b1-4),Gal(b1-6),51.62888393933334,3.5141550636953593,0.017022799410027732,reverse,0.03915243864306379,*
Gal(b1-4),GlcNAc(b1-3),9.78399266,1.8659146481102964,0.1354698778305214,reverse,0.18328277588835248,n.s.
Gal(b1-4),GlcNAc(b1-6),9.895962750933334,7.340400468795181,1.2814884164679812e-11,reverse,9.824744526254523e-11,***
Gal(b1-4),GlcNAc(b1-?),6.577574522363636,2.598992578541216,0.026537330488951107,reverse,0.0537914748361959,n.s.
Gal(b1-4),Neu5Ac(a2-3),4.904855136615385,1.9646948711778291,0.07303143034867669,reverse,0.1119815265346376,n.s.
Gal(b1-4),Neu5Ac(a2-6),18.66363073266667,3.6545386201612597,0.0010130307997169752,reverse,0.0034949562590235643,**
Gal(b1-4),Neu5Gc(a2-3),13.833333333333334,3.3136438997222384,0.021155495835204166,reverse,0.04708803911706734,*
Gal(b1-4),Neu5Gc(a2-6),10.4,2.741762869657064,0.02884470389767027,reverse,0.0537914748361959,n.s.
Gal(b1-6),Neu5Ac(a2-3),40.9375,1.9894208209808275,0.11752845280676859,reverse,0.16218926487334065,n.s.
Gal(b1-?),GlcNAc(b1-6),10.965281023330276,8.852754382643402,1.868403794342986e-14,reverse,3.222996545241651e-13,***
Gal(b1-?),Neu5Ac(a2-6),0.12148298979999998,12.835785548390017,1.734987337918049e-13,reverse,1.7102018045192196e-12,***
GlcNAc(b1-3),GlcNAc(b1-6),0.8145751633,2.6185860838938013,0.027875493397721038,reverse,0.0537914748361959,n.s.
GlcNAc(b1-3),GlcNAc(b1-?),0.4000000000000001,1.333333333333334,0.3140056594299645,reverse,0.37593307944148274,n.s.
GlcNAc(b1-3),Neu5Ac(a2-3),-0.7678122220000001,-0.6782205756724682,0.5133856103135772,forward,0.5287105539050273,n.s.
GlcNAc(b1-3),Neu5Ac(a2-6),-3.927633943761905,-1.7925347573918848,0.08795638685608081,forward,0.13193458028412122,n.s.
GlcNAc(b1-6),Neu5Ac(a2-3),-1.3181818181818181,-1.7386531072722324,0.10943485483525872,forward,0.1541021425231194,n.s.
GlcNAc(b1-6),Neu5Ac(a2-6),-7.874348100148148,-2.093619946420603,0.04618525011321991,forward,0.08171236558492753,n.s.
GlcNAc(b1-6),Neu5Gc(a2-?),-20.033333333333335,-2.0100334448160537,0.18214486325406334,forward,0.23871607654212304,n.s.
Neu5Ac(a2-3),Neu5Ac(a2-6),-3.1204292533,-3.417398469036247,0.0014243776787848886,forward,0.004273133036354666,**
Neu5Ac(a2-6),Neu5Ac(a2-6),-1.1893523486129034,-1.859754856236462,0.07028615103812072,forward,0.1119815265346376,n.s.
Neu5Gc(a2-3),Neu5Gc(a2-6),-8.5,-1.4117731575135795,0.3900273279207128,forward,0.44117845289392105,n.s.
