Diff 1,Diff 2,Mean Difference,T-Statistic,p-value,Reaction Preference,adj p-value,Significance
Fuc(a1-3),Fuc(a1-3),0.43571428571428583,1.6480931116289517,0.11735519667604201,reverse,0.13655877431393978,n.s.
Fuc(a1-3),Fuc(a1-6),-2.269073227073069,-10.708715889121438,3.760289596234683e-24,forward,2.1234576543442914e-23,***
Fuc(a1-3),Gal(b1-4),-1.500157148995604,-10.86364373003967,1.346914027025048e-24,forward,8.081484162150289e-24,***
Fuc(a1-3),GlcNAc(b1-2),-2.379671417612903,-6.5619569161657605,5.176709668109092e-10,forward,1.3998989525027402e-09,***
Fuc(a1-3),GlcNAc(b1-4),-1.1051724137931036,-7.3000476932458875,2.085813761796322e-11,forward,6.787732919743963e-11,***
Fuc(a1-3),Man(a1-3),-1.5585210663333333,-4.659645432772787,0.0002246565624735493,forward,0.00038859513508938254,***
Fuc(a1-3),Man(a1-3/6),-1.5765780280000001,-2.219029938628183,0.07722237907840747,forward,0.0950429280965015,n.s.
Fuc(a1-3),Man(a1-6),-0.35461720280000003,-4.757108741471098,0.0003063183873475753,forward,0.0005251172354529863,***
Fuc(a1-3),Neu5Ac(a2-3),-0.87607164077193,-4.897612958575151,3.2547063283139786e-06,forward,6.8670726927064165e-06,***
Fuc(a1-3),Neu5Ac(a2-3/6),-2.133815627211009,-4.4293553892827,2.273207987712988e-05,forward,4.408645794352461e-05,***
Fuc(a1-3),Neu5Ac(a2-6),-1.167621765366864,-8.457581747284987,1.2667911101662383e-14,forward,4.76909594415525e-14,***
Fuc(a1-3/4),Fuc(a1-3/4),-26.703296703296704,-6.137195121247919,7.862997125681092e-09,forward,1.935506984783038e-08,***
Fuc(a1-3/4),Fuc(a1-6),-50.58196721311475,-16.900103295056585,1.6244124798403052e-34,forward,1.559435980646693e-33,***
Fuc(a1-3/4),Gal(b1-3/4),-24.943396226415096,-8.844935796391313,3.2907419027936e-17,forward,1.3735270550790677e-16,***
Fuc(a1-3/4),GlcNAc(b1-2),-50.473684210526315,-11.336691569779067,1.8695850987639773e-16,forward,7.478340395055909e-16,***
Fuc(a1-3/4),GlcNAc(b1-2/4),-17.659999999999997,-2.4639806712225654,0.01564296584202951,forward,0.021764126388910624,*
Fuc(a1-3/4),GlcNAc(b1-2/6),9.551724137931036,1.746525286128266,0.08345432323843163,reverse,0.10141284849227135,n.s.
Fuc(a1-3/4),GlcNAc(b1-4),-4.820224719101127,-0.9415177730231312,0.34777594055435246,forward,0.3751291044181779,n.s.
Fuc(a1-3/4),GlcNAc(b1-6),-56.75,-5.487374424071657,0.0009187517392911016,forward,0.001533915947338187,**
Fuc(a1-3/4),Man(a1-3/6),2.0,0.27637740228066177,0.7887460958231053,reverse,0.7970486863054538,n.s.
Fuc(a1-3/4),Man(a1-6),-49.5,-4.594545260833345,0.0025002751847091873,forward,0.0037799435863319995,**
Fuc(a1-3/4),Neu5Ac(a2-3),29.159090909090907,4.914776013758598,6.813372553176982e-06,reverse,1.3916675853297666e-05,***
Fuc(a1-3/4),Neu5Ac(a2-6),32.136986301369866,8.196324045673085,8.376888780830712e-13,reverse,2.821688852490345e-12,***
Fuc(a1-6),Fuc(a1-6),0.42037712276845357,5.890106575150064,4.306679570208612e-09,reverse,1.0880032598421757e-08,***
Fuc(a1-6),Gal(a1-3),0.43832190665384585,2.261512303566333,0.025147335417510408,reverse,0.033529780556680544,*
Fuc(a1-6),Gal(b1-3/4),52.0,13.029075305136734,1.8871392018495678e-22,reverse,9.792722344732893e-22,***
Fuc(a1-6),Gal(b1-4),1.1755532785431861,10.467934665651063,2.927437089245994e-25,reverse,1.873559737117436e-24,***
Fuc(a1-6),GalNAc(b1-4),1.1265430355634674,3.2955458039649734,0.001091845253799463,reverse,0.0018071921442198008,**
Fuc(a1-6),GlcNAc(b1-2),1.273650482524832,6.896627254405056,6.4862225679530655e-12,reverse,2.1471633328396355e-11,***
Fuc(a1-6),GlcNAc(b1-2/4),12.735841004720337,4.634258827338116,7.32664193261637e-06,reverse,1.480752895855098e-05,***
Fuc(a1-6),GlcNAc(b1-2/6),46.02127659574468,10.019413242167246,3.8266371659338003e-13,reverse,1.3119898854630171e-12,***
Fuc(a1-6),GlcNAc(b1-3),3.0758620689655167,3.6140959186414388,0.001170218202338764,reverse,0.0019203580756328436,**
Fuc(a1-6),GlcNAc(b1-4),2.4432216756738483,11.350423885048121,2.4565141953303533e-29,reverse,1.9652113562642826e-28,***
Fuc(a1-6),GlcNAc(b1-4/6),0.35457839579260986,25.235986632698534,1.3260070901173467e-127,reverse,8.486445376751019e-126,***
Fuc(a1-6),GlcNAc(b1-6),2.4257883749958844,3.989915009685466,7.674460578548229e-05,reverse,0.00013900909727181698,***
Fuc(a1-6),Man(a1-2/3/6),-0.6452441051250002,-0.11654622267099991,0.907743276769021,forward,0.907743276769021,n.s.
Fuc(a1-6),Man(a1-3),-0.45459577146092506,-2.755018899721005,0.006032719272332348,forward,0.00864389627080456,**
Fuc(a1-6),Man(a1-3/6),-0.5405784056112,-2.024020387538111,0.04318083402349569,forward,0.055642416996719284,n.s.
Fuc(a1-6),Man(a1-6),-0.6084748510541516,-3.1639899570263577,0.001609085808718652,forward,0.002618173519271027,**
Fuc(a1-6),Neu5Ac(a2-3),1.9855799020463878,6.409853606017954,2.0034429323865763e-10,reverse,5.656780044385627e-10,***
Fuc(a1-6),Neu5Ac(a2-3/6),-0.2080779490560132,-5.415950697731026,6.539863528736302e-08,forward,1.5501898734782346e-07,***
Fuc(a1-6),Neu5Ac(a2-6),1.5015764926042263,6.160152784330369,8.915116698328205e-10,reverse,2.3447978165465964e-09,***
Fuc(a1-6),Neu5Ac(a2-8),2.05081789725,5.247171723671599,6.282533219955849e-07,reverse,1.37073452071764e-06,***
Fuc(a1-6),Neu5Gc(a2-3),0.11907626971853857,16.090589091117447,5.0068147412923295e-51,reverse,9.613084303281272e-50,***
Fuc(a1-6),Neu5Gc(a2-3/6),-0.08543267311065572,-3.965177942374189,9.43734647046726e-05,forward,0.0001677750483638624,***
Fuc(a1-6),Neu5Gc(a2-6),0.07540241588808665,15.308887721495488,2.280542365880007e-48,reverse,3.368185648068934e-47,***
Fuc(a1-6),OS,4.98164819295946,2.3144473603595364,0.023459263828163986,reverse,0.031719567993010456,*
Gal(a1-3),Gal(a1-3),0.35182247256521726,0.8477940633435013,0.4032624987862714,reverse,0.42777016445836524,n.s.
Gal(a1-3),Gal(b1-4),-1.8298725889999994,-3.6898767873246894,0.0006030958392602734,forward,0.0010157403608594077,**
Gal(a1-3),GlcNAc(b1-2),0.3494480160000002,0.8100288212167143,0.4249850107871561,reverse,0.4483358355556812,n.s.
Gal(a1-3),GlcNAc(b1-4),0.8040341399999998,2.050408590140475,0.1768132348061279,reverse,0.19852714083495063,n.s.
Gal(a1-3),Neu5Ac(a2-3),-0.5145968968863637,-1.1069655823557503,0.27240535585602016,forward,0.2971694791156584,n.s.
Gal(a1-3),Neu5Gc(a2-3),0.7982072165882352,1.656781444072671,0.1159882383008465,reverse,0.13579110825464957,n.s.
Gal(b1-3/4),Gal(b1-3/4),-24.05681818181818,-5.174690283578384,7.289058149008877e-07,forward,1.5724709714715778e-06,***
Gal(b1-3/4),GlcNAc(b1-2),-50.31914893617021,-10.14208726465236,1.2629437676079682e-13,forward,4.490466729272776e-13,***
Gal(b1-3/4),GlcNAc(b1-2/4),7.327868852459016,1.1543451642484799,0.2507009770241897,reverse,0.27663556085427826,n.s.
Gal(b1-3/4),GlcNAc(b1-2/6),28.69620253164557,6.7576753327359125,3.101915272714103e-10,reverse,8.50811046230154e-10,***
Gal(b1-3/4),GlcNAc(b1-4),8.642857142857142,1.9238670094327854,0.055662011750693,reverse,0.07077553812008645,n.s.
Gal(b1-3/4),GlcNAc(b1-6),-47.11111111111111,-4.166736601777544,0.002652530832293789,forward,0.0039479528666698255,**
Gal(b1-3/4),Man(a1-3/6),2.0,0.27637740228066177,0.7887460958231053,reverse,0.7970486863054538,n.s.
Gal(b1-3/4),Man(a1-6),-49.5,-4.594545260833345,0.0025002751847091873,forward,0.0037799435863319995,**
Gal(b1-3/4),Neu5Ac(a2-3),41.89189189189189,7.196706893334437,1.2937799722576345e-08,reverse,3.105071933418323e-08,***
Gal(b1-3/4),Neu5Ac(a2-6),35.589285714285715,8.865161123896135,1.5566567587460944e-13,reverse,5.434147230531821e-13,***
Gal(b1-4),Gal(b1-4),-0.08086522221495324,-3.038858912114729,0.002385481959668114,forward,0.0037542011168547372,**
Gal(b1-4),GalNAc(b1-4),0.2916585537333333,1.6490897666040056,0.10444434800023543,reverse,0.12455475041021866,n.s.
Gal(b1-4),GlcNAc(b1-2),-0.3930247316938775,-15.670763092877472,7.540157917978624e-53,forward,1.6085670225021063e-51,***
Gal(b1-4),GlcNAc(b1-2/4),1.0847765453759999,10.306425125767067,4.326226651706782e-22,reverse,2.1298346593018006e-21,***
Gal(b1-4),GlcNAc(b1-2/4/6),1.2404949218235293,2.968152767799972,0.005541712310225171,reverse,0.008000065891452877,**
Gal(b1-4),GlcNAc(b1-2/6),0.5187766165821596,36.09704735007845,1.7323003221929184e-92,reverse,6.652033237220807e-91,***
Gal(b1-4),GlcNAc(b1-3),2.270967741935484,3.1734277919035687,0.00346780059842755,reverse,0.005082577976321295,**
Gal(b1-4),GlcNAc(b1-4),0.6516546550388462,14.336985860170987,4.2567416624461455e-45,reverse,5.837817137068999e-44,***
Gal(b1-4),GlcNAc(b1-4/6),0.42029008100301934,12.051680516849405,4.0250712622188655e-32,reverse,3.512789465209192e-31,***
Gal(b1-4),GlcNAc(b1-6),0.8290545556787878,7.9331541081192505,1.4074190535269463e-14,reverse,5.196624197637956e-14,***
Gal(b1-4),Man(a1-3),-8.679220514276922,-9.63818287715449,1.704371415431093e-19,forward,7.4372570855174965e-19,***
Gal(b1-4),Man(a1-3/6),-0.1527337601911765,-13.641822868317277,2.2427054437154094e-34,forward,2.050473548539803e-33,***
Gal(b1-4),Man(a1-6),-0.20445268625726137,-4.021404188642442,7.601482618427985e-05,forward,0.00013899853930839743,***
Gal(b1-4),Neu5Ac(a2-3),0.6963037757441861,6.778654226540434,3.13224999745099e-11,reverse,9.699870959848227e-11,***
Gal(b1-4),Neu5Ac(a2-3/6),0.4760008437677796,3.0911918692741884,0.0020466034688370383,reverse,0.0032745655501392615,**
Gal(b1-4),Neu5Ac(a2-6),0.30522998514459665,4.304853865643597,1.852979237818622e-05,reverse,3.630326670011994e-05,***
Gal(b1-4),Neu5Ac(a2-8),0.13555512246153847,12.072294392094026,1.4358847849419505e-16,reverse,5.865742100188394e-16,***
Gal(b1-4),Neu5Gc(a2-3),0.3431602077280334,4.636606104730695,5.84266034498885e-06,reverse,1.2193378111281078e-05,***
Gal(b1-4),Neu5Gc(a2-3/6),-1.3619247601,-6.0242142505711636,8.52967146740646e-06,forward,1.688347342002103e-05,***
Gal(b1-4),Neu5Gc(a2-6),0.2029742276363636,16.660258002629813,8.420059009401905e-41,reverse,1.0104070811282288e-39,***
Gal(b1-4),OS,0.19694408500000002,6.034377615133856,8.347933534097913e-06,reverse,1.6695867068195826e-05,***
GalNAc(b1-4),GlcNAc(b1-2),-0.22126285785875704,-15.741016288487797,2.0425796109005772e-35,forward,2.064080448910057e-34,***
GalNAc(b1-4),GlcNAc(b1-6),-0.6678202233333331,-10.914144994141582,3.064224043776965e-07,forward,6.841058330292758e-07,***
GalNAc(b1-4),Man(a1-3),-0.36318464052631577,-7.156939761729009,1.9046559222868938e-09,forward,4.941809960528157e-09,***
GalNAc(b1-4),Man(a1-3/6),-1.0951038105517241,-2.1686845481343062,0.034293596494612194,forward,0.04481252891735261,*
GalNAc(b1-4),Man(a1-6),-3.6915220146779664,-2.0194513727920844,0.04806940836091372,forward,0.06152884270196956,n.s.
GalNAc(b1-4),Neu5Ac(a2-3/6),-1.1347096539016395,-21.886879422430017,6.862421733142555e-44,forward,8.78389981842247e-43,***
GalNAc(b1-4),Neu5Ac(a2-6),-0.4,-4.0,0.15595826075473865,forward,0.1771833494965078,n.s.
GlcNAc(b1-2),GlcNAc(b1-2),5.685982085778749,11.73109257491176,3.7529327295016103e-29,reverse,2.8822523362572366e-28,***
GlcNAc(b1-2),GlcNAc(b1-2/4),4.060036057303318,2.7213959947083883,0.006825917391572499,reverse,0.009707971401347555,**
GlcNAc(b1-2),GlcNAc(b1-2/4/6),0.8307813383333333,1.6850870095862005,0.11412279398740771,reverse,0.1344268493594005,n.s.
GlcNAc(b1-2),GlcNAc(b1-2/6),2.30062590952349,2.53506828111217,0.012281220577954721,reverse,0.017211637598301507,*
GlcNAc(b1-2),GlcNAc(b1-3),3.914285714285714,2.1165401550777547,0.07865860196994118,reverse,0.09619395909699813,n.s.
GlcNAc(b1-2),GlcNAc(b1-4),2.134724168262451,11.4658688456543,7.186133731812638e-30,reverse,5.998859463078376e-29,***
GlcNAc(b1-2),GlcNAc(b1-4/6),0.4659337213793518,17.457702616397977,2.175045563740518e-58,reverse,6.960145803969658e-57,***
GlcNAc(b1-2),GlcNAc(b1-6),0.865721653211111,6.649298561618108,5.828067380680224e-11,reverse,1.7761729160168303e-10,***
GlcNAc(b1-2),Man(a1-2/3/6),-3.5809303946956526,-1.9199844641378987,0.0679189651301823,forward,0.08413187938706453,n.s.
GlcNAc(b1-2),Man(a1-3),-2.7287181163956045,-1.9020195383611687,0.060364430952927865,forward,0.0757514427644585,n.s.
GlcNAc(b1-2),Man(a1-3/6),-0.46986896884210516,-2.3230610209324607,0.02129013483976844,forward,0.02899082190947192,*
GlcNAc(b1-2),Man(a1-6),-0.6613717945076925,-6.377821469885134,6.05694229689445e-10,forward,1.6151846125051867e-09,***
GlcNAc(b1-2),Neu5Ac(a2-3),3.4326821198010204,4.959017564431745,1.0577560235678677e-06,reverse,2.2565461836114513e-06,***
GlcNAc(b1-2),Neu5Ac(a2-3/6),-0.174962423619965,-5.815276669030146,8.32700416028554e-09,forward,2.0237782262972455e-08,***
GlcNAc(b1-2),Neu5Ac(a2-6),2.1466715767127846,4.258642954016337,2.395096468964096e-05,reverse,4.598585220411064e-05,***
GlcNAc(b1-2),Neu5Ac(a2-8),4.96642735685,4.71335506267209,3.0807481379682425e-05,reverse,5.7990553185284566e-05,***
GlcNAc(b1-2),Neu5Gc(a2-3),0.049789960848214285,5.385924323056519,1.8249641261016064e-07,reverse,4.171346573946529e-07,***
GlcNAc(b1-2),Neu5Gc(a2-3/6),0.3622332483333334,5.534271244669038,0.0026420065987324006,reverse,0.0039479528666698255,**
GlcNAc(b1-2),Neu5Gc(a2-6),0.03271842225454546,52.373947196251,7.714803713875069e-126,reverse,3.703105782660033e-124,***
GlcNAc(b1-2),OS,7.2859541315000005,2.31787480851612,0.02467415118551306,reverse,0.03312893026306649,*
GlcNAc(b1-2/4),GlcNAc(b1-2/6),43.0,5.669222327585239,2.7715375253401653e-05,reverse,5.2686653947060575e-05,***
GlcNAc(b1-2/4),GlcNAc(b1-4),-1.3157894736842124,-0.1589854497468258,0.8741228777805607,forward,0.8786994373500925,n.s.
GlcNAc(b1-2/4),Man(a1-3/6),49.5,4.594545260833345,0.0025002751847091873,reverse,0.0037799435863319995,**
GlcNAc(b1-2/4),Man(a1-6),-5.743609878229813,-4.658546668259892,6.660687531446466e-06,forward,1.3751096839115285e-05,***
GlcNAc(b1-2/4),Neu5Ac(a2-3),6.4742545923626365,2.5882948460239716,0.011047114416462151,reverse,0.01559592623500539,*
GlcNAc(b1-2/4),Neu5Ac(a2-6),0.4535672601019525,0.905629261438114,0.36557472246631295,reverse,0.38994637063073384,n.s.
GlcNAc(b1-2/4),OS,89.0,9.88888888888889,0.06415917669625859,reverse,0.07999066185507564,n.s.
GlcNAc(b1-2/4/6),Man(a1-3),-2.2006934028181817,-2.4491168456789407,0.03430959245234809,forward,0.04481252891735261,*
GlcNAc(b1-2/4/6),Man(a1-6),-1.9283335955454548,-2.8521737556784887,0.017185925157688756,forward,0.023738831872490943,*
GlcNAc(b1-2/4/6),Neu5Ac(a2-3/6),-1.4647190995000001,-8.423078793669177,1.796918893763562e-07,forward,4.156728043404866e-07,***
GlcNAc(b1-2/4/6),Neu5Ac(a2-6),-3.367246251833333,-2.1101702901687864,0.0886027560759486,forward,0.10699200733699453,n.s.
GlcNAc(b1-2/6),GlcNAc(b1-4),-13.235294117647054,-0.9772764683462578,0.3359948783750146,forward,0.3644690206101854,n.s.
GlcNAc(b1-2/6),Neu5Ac(a2-3),1.4483592027124996,0.7111561621609388,0.4785546946423499,reverse,0.5020901714280392,n.s.
GlcNAc(b1-2/6),Neu5Ac(a2-6),1.551557956020134,1.5900171533788237,0.11377535349562813,reverse,0.1344268493594005,n.s.
GlcNAc(b1-3),GlcNAc(b1-4),-2.3333333333333335,-1.6161498378886354,0.24744233305932123,forward,0.2746180806207496,n.s.
GlcNAc(b1-4),GlcNAc(b1-4),-2.9586962415890405,-1.3861072483620762,0.16806287691984959,forward,0.18981219040359484,n.s.
