Diff 1,Diff 2,Mean Difference,T-Statistic,p-value,Reaction Preference,adj p-value,Significance
6S,Fuc(a1-2),-1.0887666977000001,-1.3731085622330381,0.17996090523488964,forward,0.23316673808694396,n.s.
6S,Gal(b1-3),-1.9652486356666667,-8.015962719369444,2.7861373921693855e-12,forward,8.974153920890045e-11,***
6S,Gal(b1-4),-1.6276382598777779,-7.241194382284673,6.660728333008096e-11,forward,1.6540808693636773e-09,***
6S,Neu5Ac(a2-3),-4.222872697493591,-7.3725277756539755,3.0114610472785386e-12,forward,8.974153920890045e-11,***
Fuc(a1-2),Fuc(a1-2),-0.010439907299999995,-0.050718410150051185,0.9597483750787646,forward,0.9662331613968644,n.s.
Fuc(a1-2),Fuc(a1-3/4),0.22970121859999992,0.9653797703521669,0.3352928878751258,reverse,0.3903018772921386,n.s.
Fuc(a1-2),Gal(a1-3),0.5214876142857142,3.8301588133160154,0.00865755786125805,reverse,0.022135584936628826,*
Fuc(a1-2),Gal(b1-3),-1.30593530924,-2.9476959656603507,0.0037233887867739335,forward,0.010720263029784837,*
Fuc(a1-2),Gal(b1-3/4),-1.3414088802884614,-7.110550135413592,1.524118495360013e-10,forward,2.919347212534039e-09,***
Fuc(a1-2),Gal(b1-4),0.07606225151724122,0.16433648434117623,0.8698978599847643,reverse,0.8867772828102614,n.s.
Fuc(a1-2),GalNAc(a1-3),0.6630150457870371,2.9326559917940047,0.004089730592553278,reverse,0.011497544496046008,*
Fuc(a1-2),GalNAc(b1-4),3.5525746486,1.579327092329315,0.14835899782662243,reverse,0.20095900614697038,n.s.
Fuc(a1-2),GlcNAc(?1-?),0.11512168138888879,0.21317395084081817,0.8324787665288753,reverse,0.867407945544073,n.s.
Fuc(a1-2),GlcNAc(a1-4),-0.27142783740476206,-0.4185115540886156,0.6771247573018824,forward,0.7334356666773125,n.s.
Fuc(a1-2),GlcNAc(b1-3),0.37570793310256423,1.0829834773197466,0.2810579800776575,reverse,0.33772289541589484,n.s.
Fuc(a1-2),GlcNAc(b1-6),0.671416290583333,2.266091765003145,0.028306672127798808,reverse,0.05549597561897397,n.s.
Fuc(a1-2),HexNAc(?1-?),0.02775585233333344,0.15983307709244865,0.8748742320342847,reverse,0.8867772828102614,n.s.
Fuc(a1-2),Neu5Ac(a2-3),0.587363955633333,0.5042833400444384,0.6159773909041534,reverse,0.6798565277386581,n.s.
Fuc(a1-2),Neu5Ac(a2-6),-0.21761436350000007,-1.4440535145080973,0.20715585790993693,forward,0.25982372608262816,n.s.
Fuc(a1-2),OS,0.07235775533333333,4.685893945290144,0.005404944030608776,reverse,0.01464248473746741,*
Fuc(a1-3),Fuc(a1-6),-0.5559278612,-3.921019909230279,0.0009176764849875922,forward,0.0034183449065787806,**
Fuc(a1-3),Gal(b1-3),-2.55,-6.121077404443118,0.008765097391014099,forward,0.022135584936628826,*
Fuc(a1-3),Gal(b1-4),-3.2150976276875003,-2.2635503368814214,0.030749267973947947,forward,0.05799545478630688,n.s.
Fuc(a1-3),Man(a1-3),-0.46662466874999997,-2.247212693820531,0.1102222237879972,forward,0.15438529082522115,n.s.
Fuc(a1-3),Man(a1-3/6),-1.5636086320000002,-2.390349450163337,0.09671092339856087,forward,0.13855699602293817,n.s.
Fuc(a1-3),Man(a1-6),-10.024696827666666,-7.762834009168375,0.01619236248861209,forward,0.036009880758256736,*
Fuc(a1-3),Neu5Ac(a2-3),1.066470588235295,0.3017130437349142,0.7648292410564836,reverse,0.819852927463425,n.s.
Fuc(a1-3),Neu5Ac(a2-3/6),-0.9263624318888889,-3.181974077593184,0.012958918892236338,forward,0.03014894111788835,*
Fuc(a1-3),Neu5Ac(a2-6),-0.739572407962963,-5.577870776250867,7.364474299236476e-06,forward,4.7708985677662386e-05,***
Fuc(a1-3/4),Fuc(a1-3/4),0.0,0.0,1.0,forward,1.0,n.s.
Fuc(a1-3/4),Gal(a1-3),0.18176084566666673,0.44694958765862686,0.679289409405833,reverse,0.7334356666773125,n.s.
Fuc(a1-3/4),Gal(b1-3),-0.5615518136774192,-4.754342378425291,4.65817531899918e-05,forward,0.0002478814723324564,***
Fuc(a1-3/4),Gal(b1-3/4),-1.1683886439487179,-7.585695663449021,2.492353894103e-12,forward,8.974153920890045e-11,***
Fuc(a1-3/4),Gal(b1-4),-1.1210355052656251,-5.332918530012707,1.3926450965485827e-06,forward,1.0921269441354674e-05,***
Fuc(a1-3/4),GalNAc(a1-3),0.23338389236,2.099426692745606,0.043750819063197395,reverse,0.0740780913683683,n.s.
Fuc(a1-3/4),GlcNAc(?1-?),-1.2331150873333332,-2.437439461122255,0.03297205054295511,forward,0.061410444136253885,n.s.
Fuc(a1-3/4),GlcNAc(a1-4),1.6405217401666665,2.1016194922677918,0.05943343075356692,reverse,0.09268748060999572,n.s.
Fuc(a1-3/4),GlcNAc(b1-3),-0.5810394597499998,-0.8106764166339863,0.43310582106337236,forward,0.48520877698077053,n.s.
Fuc(a1-3/4),GlcNAc(b1-6),1.3715496421388886,4.325643553150055,0.0001205154515541302,reverse,0.0005792516865021096,***
Fuc(a1-3/4),Neu5Ac(a2-3),1.093895306222222,5.104367933233188,8.87154051376661e-06,reverse,5.507748068963437e-05,***
Fuc(a1-3/4),Neu5Ac(a2-3/6),1.6405217401666665,1.4169115726370138,0.21569196007936786,reverse,0.26781751709854845,n.s.
Fuc(a1-3/4),OS,0.6836827798333335,2.845661520555255,0.03600644873984492,reverse,0.06238326583996386,n.s.
Fuc(a1-4),GalNAc(a1-3),-0.35542483159999994,-1.1845673943042043,0.25633936572459187,forward,0.3105249227070259,n.s.
Fuc(a1-4),GlcNAc(b1-3),0.3780477381666667,3.7850382635278232,0.0030205779353572994,reverse,0.009442319893067928,**
Fuc(a1-6),Fuc(a1-6),1.5605074961923073,4.621632516852398,1.4462002271882331e-05,reverse,8.287839763501797e-05,***
Fuc(a1-6),Gal(b1-4),-0.7569930517555554,-2.334644683850825,0.02327577473274396,forward,0.04884634415744859,*
Fuc(a1-6),GlcNAc(b1-2),2.1630686082045454,5.844308061851256,6.156491695252572e-07,reverse,5.733232891203958e-06,***
Fuc(a1-6),GlcNAc(b1-4),1.4496111594150947,5.4622268569516566,1.3410003105330048e-06,reverse,1.0921269441354674e-05,***
Fuc(a1-6),GlcNAc(b1-4/6),1.223243106301205,5.595633052776447,2.8284774084042337e-07,reverse,3.010308098944506e-06,***
Fuc(a1-6),Man(a1-3),0.4658027242499998,0.7949100191024984,0.4364442136027502,reverse,0.48529990915529686,n.s.
Fuc(a1-6),Man(a1-3/6),0.6325259195999998,1.1689427012350324,0.25142889611092367,reverse,0.3070729960698986,n.s.
Fuc(a1-6),Man(a1-6),-1.9278650762500003,-1.600930735742524,0.1264961048479531,forward,0.17291669378298175,n.s.
Fuc(a1-6),Neu5Ac(a2-3),-0.351863913962963,-0.9134092034685442,0.36539050203341805,forward,0.4220401922711573,n.s.
Fuc(a1-6),Neu5Ac(a2-3/6),-0.9198139420967743,-3.1622844953468934,0.0035265054578426454,forward,0.010508986264371082,*
Fuc(a1-6),Neu5Ac(a2-6),-1.3554636064999996,-1.9866577788431046,0.05393720354122384,forward,0.0864155196520683,n.s.
Gal(a1-3),Gal(b1-3),-0.657420722,-3.9611141981979245,0.05822269321488056,forward,0.09228916264911918,n.s.
Gal(a1-3),GalNAc(a1-3),-0.11148791699999999,-0.19446445477015536,0.8649434397053544,forward,0.8867772828102614,n.s.
Gal(b1-3),Gal(b1-3),1.224726937,3.0979483466526734,0.026915700673991422,reverse,0.05347252533899629,n.s.
Gal(b1-3),Gal(b1-4),-0.028989437791666628,-0.17193527646299675,0.8644001359795296,forward,0.8867772828102614,n.s.
Gal(b1-3),GalNAc(a1-3),0.49752835575,3.85962370442459,0.0005971409838700319,reverse,0.0023414212262272303,**
Gal(b1-3),GalNAc(b1-4),1.224726937,3.0979483466526734,0.026915700673991422,reverse,0.05347252533899629,n.s.
Gal(b1-3),GlcNAc(a1-4),0.45613978383333326,4.174279679927191,0.0006359726228187284,reverse,0.002429741558974116,**
Gal(b1-3),GlcNAc(b1-3),1.1897499510204081,6.946711883157635,8.87495904399104e-09,reverse,1.322368897554665e-07,***
Gal(b1-3),GlcNAc(b1-6),2.523333333333333,1.3982291090827672,0.29692339922147104,reverse,0.3539326918719935,n.s.
Gal(b1-3),Neu5Ac(a2-3),1.6006597789101125,8.083826199577999,2.729676879255889e-12,reverse,8.974153920890045e-11,***
Gal(b1-3),Neu5Ac(a2-3/6),0.6836827798333335,2.845661520555255,0.03600644873984492,reverse,0.06238326583996386,n.s.
Gal(b1-3),Neu5Ac(a2-6),-3.697556649606061,-2.040530117995642,0.049406363230390056,forward,0.08001682740574041,n.s.
Gal(b1-3),Neu5Ac(a2-8),5.378303465564103,7.146433988642984,1.5598071827529565e-08,reverse,1.9367605852515878e-07,***
Gal(b1-3/4),Gal(b1-3/4),-0.4110383624444446,-1.3351329525690216,0.1946716104668909,forward,0.25005232723764437,n.s.
Gal(b1-3/4),Gal(b1-4),-2.5294444791666666,-2.0618073684028433,0.09421630450701997,forward,0.13752612911484172,n.s.
Gal(b1-3/4),GalNAc(a1-3),0.6836827798333335,2.845661520555255,0.03600644873984492,reverse,0.06238326583996386,n.s.
Gal(b1-3/4),GlcNAc(?1-?),0.8837824979166667,2.4767837341451715,0.030748845828369117,reverse,0.05799545478630688,n.s.
Gal(b1-3/4),GlcNAc(a1-4),1.375413413,4.07061189032363,0.0002085262143446766,reverse,0.0009709501855424005,***
Gal(b1-3/4),GlcNAc(b1-3),0.6836827798333335,2.845661520555255,0.03600644873984492,reverse,0.06238326583996386,n.s.
Gal(b1-3/4),GlcNAc(b1-6),1.1246803709259259,4.834923146197439,1.1839206671721283e-05,reverse,7.056167176345884e-05,***
Gal(b1-3/4),Neu5Ac(a2-3),0.6836827798333335,2.845661520555255,0.03600644873984492,reverse,0.06238326583996386,n.s.
Gal(b1-3/4),Neu5Ac(a2-3/6),1.2879657971000003,3.560928357717671,0.00129834174685933,reverse,0.004718363909318053,**
Gal(b1-3/4),OS,0.6836827798333335,2.845661520555255,0.03600644873984492,reverse,0.06238326583996386,n.s.
Gal(b1-4),Gal(b1-4),0.34915657359090896,4.290241063455721,9.138553041676294e-05,reverse,0.0004538814677365893,***
Gal(b1-4),GalNAc(a1-3),0.05343814281249998,0.24990124165869945,0.8047142199030419,reverse,0.850371764294704,n.s.
Gal(b1-4),GlcNAc(a1-4),0.6745125301666667,3.455518619723322,0.0021485629968294013,reverse,0.007114130811724018,**
Gal(b1-4),GlcNAc(b1-2/4/6),1.2532147769047617,3.222289286677784,0.00427306560251407,reverse,0.011790495829159194,*
Gal(b1-4),GlcNAc(b1-3),1.1792851998928573,5.098892571991043,2.3350326808313652e-05,reverse,0.00012885921090513832,***
Gal(b1-4),GlcNAc(b1-4),0.2672289744444444,1.022428709251612,0.3113868169800645,reverse,0.3653278403939339,n.s.
Gal(b1-4),GlcNAc(b1-4/6),0.6490035240517242,4.2674800907070045,7.547010507548028e-05,reverse,0.00038776019504298487,***
Gal(b1-4),GlcNAc(b1-6),1.2397407658333333,2.733672533089389,0.014143576881567555,reverse,0.03193019629323584,*
Gal(b1-4),Man(a1-3),-1.08759780425,-2.535543362107511,0.0389165050875934,forward,0.0666501064143841,n.s.
Gal(b1-4),Man(a1-6),-0.9106789521428572,-3.26449731548166,0.017151939279416814,forward,0.037038245690334856,*
Gal(b1-4),Neu5Ac(a2-3),0.41588685890217403,1.2090508701001852,0.22848494671839992,reverse,0.2813574963722445,n.s.
Gal(b1-4),Neu5Ac(a2-3/6),0.09933280382608702,2.913706291398913,0.006002327087514581,reverse,0.015970477429279865,*
